,min,max,mean,median,preFilterStateCounts,postFilterStateCounts,difference
00,71,295,183.0,183.0,2,2,0
76,13,2641,396.7740963855422,279.0,332,332,0
AK,59,934,249.1782608695652,225.5,230,230,0
AL,21,5616,284.2774725274725,138.5,1652,1652,0
AR,21,2689,191.74867724867724,122.0,1512,1512,0
AZ,12,10757,164.54038004750595,121.0,3054,3054,0
BE,24,2371,358.2830188679245,264.0,53,53,0
CA,4,17388,187.5614985862394,120.0,14870,14870,0
CM,42,1819,259.11283376399655,207.0,1161,1161,0
CO,0,36354,164.14067146282974,110.0,25505,25504,1
CT,10,2414,134.2739449077584,80.0,9682,9681,1
DC,4,4765,132.27444927739583,76.0,7127,7127,0
DE,14,2157,148.1772151898734,81.5,868,868,0
ENG,13,1843,202.7488038277512,134.0,418,418,0
FL,5,36102,181.3145146603533,110.0,9606,9606,0
GA,4,21730,243.11824116270478,124.0,8657,8657,0
HI,2,2051,207.12660256410257,161.0,814,814,0
IA,22,7180,197.78896269800714,153.0,5079,5079,0
ID,35,1514,213.8700980392157,169.0,816,816,0
IL,-6159,3493,172.3740366088632,109.0,4931,4930,1
IN,15,6859,159.57734806629836,108.0,6516,6516,0
KS,29,4686,218.4452717795979,149.0,1343,1343,0
KY,39,5254,242.68949343339588,190.5,1066,1066,0
LA,14,3072,299.75606796116506,181.0,1648,1648,0
MA,7,21129,152.62215320910974,103.0,16783,16783,0
MD,16,2035,150.61031518624642,102.0,8509,8508,1
ME,12,40108,158.16858014823427,108.0,6971,6971,0
MI,6,1803,147.6071251855517,93.0,3951,3951,0
MN,22,1956,197.9620253164557,133.0,566,566,0
MO,7,4773,171.08308605341247,119.0,2658,2658,0
MS,25,26762,1838.691629955947,158.5,454,454,0
MT,59,2194,266.45226730310264,202.0,838,838,0
NC,13,4746,174.50303568784244,127.0,7371,7371,0
NE,21,2203,186.42679900744417,128.0,1054,1054,0
NH,15,3267,146.20395039044556,85.0,7126,7126,0
NJ,4,1589,145.27822580645162,86.5,4209,4207,2
NM,1,1871,173.32170880557976,141.0,1147,1147,0
NS,20,1731,176.62637362637363,99.0,182,182,0
NV,3,18020,174.7134775374376,120.0,3005,3005,0
NY,17,5673,174.229346092504,104.0,16580,16573,7
OH,29,36049,208.89250493096648,134.0,3102,3102,0
OK,13,3346,147.44820038910507,101.0,4112,4112,0
ON,11,2092,155.22126929674099,100.0,583,583,0
OR,0,4338,140.21194275148943,111.0,15232,15230,2
PA,14,2883,124.84798994974874,88.0,5231,5231,0
RI,31,749,211.1875,175.0,1406,1406,0
SC,27,1827,135.95661605206072,91.0,1844,1844,0
SD,32,4300,170.72180916976455,118.0,1614,1614,0
TAS,25,4285,389.10655737704917,319.5,610,610,0
TN,17,3681,174.91505565319272,125.0,3414,3414,0
TX,2,36034,175.74599260172627,117.0,12292,12292,0
UT,16,16294,440.587745389649,152.0,1681,1681,0
VA,0,13079,167.81939615736505,92.0,5915,5915,0
VT,12,4220,172.2109836635384,108.0,4732,4732,0
WA,3,6941,179.53324737520722,132.0,5533,5533,0
WI,18,4203,204.00337078651685,120.0,1602,1602,0
WV,20,3426,194.67275943396226,120.0,3052,3052,0
WY,28,1230,157.07289293849658,112.0,939,939,0
